code,description
"#include <stdio.h>
#include <omp.h>
int main()
{

#pragma omp parallel
{
	printf(""Hello from thread ? of ?.\n"");
}

	return 0;
}","Function Name: main
Parameters: None
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; serves as the main entry point for program execution."
"#include <stdio.h>
#include <omp.h>
int main()
{

#pragma omp parallel
{
	int thread_num = omp_get_thread_num();
	int num_threads = omp_get_num_threads();

	printf(""Hello from thread %d of %d.\n"", thread_num, num_threads);
}

	return 0;
}","Function Name: main
Parameters: None
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; serves as the main entry point for program execution."
"double CalcPi(int n);
int main(int argc, char **argv)
{
    int n = 150000000;
    const double fPi25DT = 3.141592653589793238462643;
    double fPi;
    double fTimeStart, fTimeEnd;
    
#ifdef READ_INPUT  
    printf(""Enter the number of intervals: "");
    scanf(""%d"",&n);
#endif

    if (n <= 0 || n > 2147483647 ) 
    {
        printf(""\ngiven value has to be between 0 and 2147483647\n"");
        return 1;
    }
    fTimeStart = omp_get_wtime();

    /* the calculation is done here*/
    fPi = CalcPi(n);

    fTimeEnd = omp_get_wtime();
    printf(""\npi is approximately = %.20f \nError               = %.20f\n"",
           fPi, fabs(fPi - fPi25DT));
    printf(""  wall clock time     = %.20f\n"", fTimeEnd - fTimeStart);

    return 0;
}","Function Name: main
Parameters: int argc, char **argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"double f(double a)
{
    return (4.0 / (1.0 + a*a));
}","Function Name: f
Parameters: double a
Description: This function returns a double and executes a general set of operations."
"double CalcPi(int n)
{
    const double fH   = 1.0 / (double) n;
    double fSum = 0.0;
    double fX;
    int i;

    for (i = 0; i < n; i += 1)
    {
        fX = fH * ((double)i + 0.5);
        fSum += f(fX);
    }
    return fH * fSum;
}","Function Name: CalcPi
Parameters: int n
Description: This function returns a double and estimates the value of Pi using numerical methods."
"double CalcPi(int n);
int main(int argc, char **argv)
{
    int n = 150000000;
    const double fPi25DT = 3.141592653589793238462643;
    double fPi;
    double fTimeStart, fTimeEnd;
    
#ifdef READ_INPUT  
    printf(""Enter the number of intervals: "");
    scanf(""%d"",&n);
#endif

    if (n <= 0 || n > 2147483647 ) 
    {
        printf(""\ngiven value has to be between 0 and 2147483647\n"");
        return 1;
    }
    fTimeStart = omp_get_wtime();

    /* the calculation is done here*/
    fPi = CalcPi(n);

    fTimeEnd = omp_get_wtime();
    printf(""\npi is approximately = %.20f \nError               = %.20f\n"",
           fPi, fabs(fPi - fPi25DT));
    printf(""  wall clock time     = %.20f\n"", fTimeEnd - fTimeStart);

    return 0;
}","Function Name: main
Parameters: int argc, char **argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"double f(double a)
{
    return (4.0 / (1.0 + a*a));
}","Function Name: f
Parameters: double a
Description: This function returns a double and executes a general set of operations."
"double CalcPi(int n)
{
    const double fH   = 1.0 / (double) n;
    double fSum = 0.0;
    double fX;
    int i;

    #pragma omp parallel for private(fX) reduction(+:fSum)
    for (i = 0; i < n; i += 1)
    {
        fX = fH * ((double)i + 0.5);
        fSum += f(fX);
    }
    return fH * fSum;
}","Function Name: CalcPi
Parameters: int n
Description: This function returns a double and performs parallel execution using OpenMP directives; estimates the value of Pi using numerical methods."
"#include <stdio.h>
#include <math.h>
#include <stdlib.h>
void jacobi (
             int n, 
             int m, 
             double dx, 
             double dy, 
             double alpha, 
             double omega, 
             double *u, 
             double *f, 
             double tol, 
             int maxit )

{
  int i,j,k;
  double error, resid, ax, ay, b;
  double *uold;
  
  uold = (double *) malloc(sizeof(double)*n*m);
  if (!uold){
    fprintf(stderr, ""Error: cant allocate memory\n"");
    exit(1);
  }

  ax = 1.0/(dx * dx); /* X-direction coef */
  ay = 1.0/(dy*dy); /* Y_direction coef */
  b = -2.0/(dx*dx)-2.0/(dy*dy) - alpha; /* Central coeff */

  error = 10.0 * tol;


  k = 1;

  while (k <= maxit && error > tol) {

    error = 0.0;
    /* copy new solution into old */
    for (j=0; j<m; j++)
      for (i=0; i<n; i++){
        UOLD(j,i) = U(j,i);
      }

    /* compute stencil, residual and update */
    for (j=1; j<m-1; j++){
      for (i=1; i<n-1; i++){
        resid =(
                ax * (UOLD(j,i-1) + UOLD(j,i+1))
                + ay * (UOLD(j-1,i) + UOLD(j+1,i))
                + b * UOLD(j,i) - F(j,i)
                ) / b;
        
        /* update solution */
        U(j,i) = UOLD(j,i) - omega * resid;

        /* accumulate residual error */
        error =error + resid*resid;

      }
    }
    /* error check */
    k++;
    error = sqrt(error) /(n*m);

  } /* while */

  printf(""Total Number of Iterations %d\n"", k);
  printf(""Residual                   %.15g\n"", error);
}","Function Name: jacobi
Parameters: int n, int m, double dx, double dy, double alpha, double omega, double *u, double *f, double tol, int maxit
Description: This function returns a void and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions."
"void initialize(  
                int n,    
                int m,
                double alpha,
                double *dx,
                double *dy,
                double *u,
                double *f)
{
  int i,j,xx,yy;

  *dx = 2.0 / (n-1);
  *dy = 2.0 / (m-1);

  /* Initilize initial condition and RHS */
  for (j=0; j<m; j++){
    for (i=0; i<n; i++){
      xx = -1.0 + *dx * (i-1);
      yy = -1.0 + *dy * (j-1);
      U(j,i) = 0.0;
      F(j,i) = -alpha * (1.0 - xx*xx) * (1.0 - yy*yy)
                - 2.0 * (1.0 - xx*xx) - 2.0 * (1.0 - yy*yy);
    }
  }
}","Function Name: initialize
Parameters: int n, int m, double alpha, double *dx, double *dy, double *u, double *f
Description: This function returns a void and executes a general set of operations."
